X1,name
4535,MT-ND1
4536,MT-ND2
4512,MT-CO1
113219467,MT-TS1
4513,MT-CO2
4509,MT-ATP8
4508,MT-ATP6
4514,MT-CO3
4537,MT-ND3
4539,MT-ND4L
4538,MT-ND4
4540,MT-ND5
4541,MT-ND6
4519,MT-CYB
102724250,AC240274.1
339822,LINC01115
4987,OPRL1
2832,NPBWR2
4661,MYT1
55251,PCMTD2
65123,INTS3
79166,LILRP2
115653,KIR3DL3
3804,KIR2DL3
22904,SBNO2
51112,TRAPPC12
3802,KIR2DL1
100132285,KIR2DS2
3805,KIR2DL4
55256,ADI1
11000,SLC27A3
100288966,BX072566.1
3859,KRT12
54474,KRT20
3803,KIR2DL2
25984,KRT23
553128,KIR2DL5B
3808,KIR2DS3
343052,AL513523.6
57459,GATAD2B
3811,KIR3DL1
105374250,LINC02054
390792,KRT39
125115,KRT40
85293,KRTAP3-3
83897,KRTAP3-2
3813,KIR3DS1
83896,KRTAP3-1
6063,RNVU1-2A
83895,KRTAP1-5
728255,KRTAP1-4
728945,PPIAL4F
81850,KRTAP1-3
81851,KRTAP1-1
100008587,RNA5-8SN5
81872,KRTAP2-1
3809,KIR2DS4
728279,AC037482.2
730755,KRTAP2-3
85294,KRTAP2-4
100996750,AC037482.3
3812,KIR3DL2
728224,KRTAP4-8
100132386,KRTAP4-9
653240,KRTAP4-11
83755,KRTAP4-12
390174,OR9G1
504191,OR9G9
283189,OR9G4
101927120,LINC02735
57292,KIR2DL5A
7617,ZNF66
102725023,GU182339.1
641367,CCNYL6
3806,KIR2DS1
163227,ZNF100
2204,FCAR
641367,BRI3BPP1
7594,ZNF43
196385,DNAH10
7639,ZNF85
254528,MEIOB
64735,LINC00254
105371048,LINC02124
64711,HS3ST6
83899,KRTAP9-2
83900,KRTAP9-3
85280,KRTAP9-4
81870,KRTAP9-9
100507608,AC209539.2
100533177,KRTAP29-1
54221,SNTG2
374308,PTCHD3
7173,TPO
80264,ZNF430
9231,DLG5
100507608,KRTAP9-6
9271,PIWIL1
100505724,KRTAP9-7
80212,CCDC92
100507524,ARHGEF26-AS1
26084,ARHGEF26
102724770,AC007325.4
102724788,AC007325.2
284241,AC068473.9
9437,NCR1
9150,CTDP1
161,AP2A2
5626,PROP1
10841,FTCD
92126,DSEL
170506,DHX36
643542,AC110597.4
100861507,FTCD-AS1
51232,CRIM1
84221,SPATC1L
26065,LSM14A
4047,LSS
389831,AC011043.1
4588,MUC6
200315,APOBEC3A
100913187,APOBEC3A
647042,GOLGA6L10
286083,AF067845.6
58516,SINHCAF
9228,DLGAP2
100507435,DLGAP2-AS1
101928280,LINC02549
100874530,APOBEC3B-AS1
643707,GOLGA6L10
105371907,SEPTIN9-DT
9710,GARRE1
10801,SEPTIN9
81792,ADAMTS12
79857,FLJ13224
100134869,UBE2Q2P2
51289,RXFP3
101929297,AL121956.2
51151,SLC45A2
26063,DECR2
440295,GOLGA6L9
26047,CNTNAP2
23191,CYFIP1
728339,FRG1-DT
105377617,LINC01596
115677,NOSTRIN
3785,KCNQ2
101929374,LINC01659
388882,FAM230I
220134,SKA1
344752,AADACL2
114791,TUBGCP5
6218,RPS17
390535,GOLGA8EP
