ID	name	source	formula	mass	charge	xrefs
BIOMASS	BIOMASS	BIOMASS@c				mnx:BIOMASS;BIOMASS;seed.compound:cpd11416;seedM:M_cpd11416;seedM:cpd11416
MNXM01	PMF		H	1.00794	1	mnx:PMF;MNXM01
MNXM1	H(+)	M_h_c;M_h_e;M_h_g;M_h_i;M_h_l;M_h_m;M_h_n;M_h_r;M_h_x	H	1.00794	1	mnx:PROTON;CHEBI:15378;CHEBI:24636;CHEBI:29233;CHEBI:29234;MNXM1;bigg.metabolite:h;biggM:M_h;biggM:h;chebi:10744;chebi:13357;chebi:15378;chebi:24636;chebi:29233;chebi:29234;chebi:5584;hmdb:HMDB0059597;hmdb:HMDB59597;kegg.compound:C00080;keggC:C00080;keggC:M_C00080;metacyc.compound:PROTON;metacycM:PROTON;reactome:R-ALL-1132304;reactome:R-ALL-113529;reactome:R-ALL-1470067;reactome:R-ALL-156540;reactome:R-ALL-1614597;reactome:R-ALL-163953;reactome:R-ALL-193465;reactome:R-ALL-194688;reactome:R-ALL-2000349;reactome:R-ALL-2429673;reactome:R-ALL-2872447;reactome:R-ALL-351626;reactome:R-ALL-372511;reactome:R-ALL-374900;reactome:R-ALL-425969;reactome:R-ALL-425978;reactome:R-ALL-425999;reactome:R-ALL-427899;reactome:R-ALL-428040;reactome:R-ALL-428548;reactome:R-ALL-5228597;reactome:R-ALL-5244410;reactome:R-ALL-5668577;reactome:R-ALL-70106;reactome:R-ALL-74722;reactomeM:R-ALL-1132304;reactomeM:R-ALL-113529;reactomeM:R-ALL-1470067;reactomeM:R-ALL-156540;reactomeM:R-ALL-1614597;reactomeM:R-ALL-163953;reactomeM:R-ALL-193465;reactomeM:R-ALL-194688;reactomeM:R-ALL-2000349;reactomeM:R-ALL-2429673;reactomeM:R-ALL-2872447;reactomeM:R-ALL-351626;reactomeM:R-ALL-372511;reactomeM:R-ALL-374900;reactomeM:R-ALL-425969;reactomeM:R-ALL-425978;reactomeM:R-ALL-425999;reactomeM:R-ALL-427899;reactomeM:R-ALL-428040;reactomeM:R-ALL-428548;reactomeM:R-ALL-5228597;reactomeM:R-ALL-5244410;reactomeM:R-ALL-5668577;reactomeM:R-ALL-70106;reactomeM:R-ALL-74722;sabiork.compound:39;sabiorkM:39;seed.compound:cpd00067;seedM:M_cpd00067;seedM:cpd00067
MNXM10	NADH	M_nadh_c;M_nadh_e;M_nadh_m;M_nadh_r;M_nadh_x	C21H27N7O14P2	663.425382	-2	chebi:57945;CHEBI:16908;CHEBI:57945;bigg.metabolite:nadh;biggM:M_nadh;biggM:nadh;chebi:13395;chebi:13396;chebi:16908;chebi:21902;chebi:44216;chebi:7423;hmdb:HMDB0001487;hmdb:HMDB01487;kegg.compound:C00004;keggC:C00004;keggC:M_C00004;metacyc.compound:NADH;metacycM:NADH;reactome:R-ALL-192305;reactome:R-ALL-194697;reactome:R-ALL-29362;reactome:R-ALL-73473;reactomeM:R-ALL-192305;reactomeM:R-ALL-194697;reactomeM:R-ALL-29362;reactomeM:R-ALL-73473;sabiork.compound:38;sabiorkM:38;seed.compound:cpd00004;seedM:M_cpd00004;seedM:cpd00004
MNXM100	(2E)-geranyl diphosphate	M_grdp_c;M_grdp_x	C10H17O7P2	311.185302	-3	chebi:58057;CHEBI:17211;CHEBI:58057;SLM:000000305;bigg.metabolite:grdp;biggM:M_grdp;biggM:grdp;chebi:14299;chebi:17211;chebi:24223;chebi:42877;chebi:5332;hmdb:HMDB0001285;hmdb:HMDB0001560;hmdb:HMDB0002239;hmdb:HMDB0006506;hmdb:HMDB01285;hmdb:HMDB01560;hmdb:HMDB02239;hmdb:HMDB06506;kegg.compound:C00341;keggC:C00341;keggC:M_C00341;lipidmaps:LMPR0102010001;lipidmapsM:LMPR0102010001;metacyc.compound:GERANYL-PP;metacycM:GERANYL-PP;reactome:R-ALL-191409;reactomeM:R-ALL-191409;sabiork.compound:1846;sabiork.compound:5050;sabiorkM:1846;sabiorkM:5050;seed.compound:cpd00283;seed.compound:cpd03476;seedM:M_cpd00283;seedM:M_cpd03476;seedM:cpd00283;seedM:cpd03476;slm:000000305
MNXM10053	3-mercaptolactic acid-cysteine disulfide	M_mercplaccys_c;M_mercplaccys_e	C6H10NO5S2	240.27934	-1	chebi:140723;CHEBI:140723;CHEBI:140724;bigg.metabolite:mercplaccys;biggM:M_mercplaccys;biggM:mercplaccys;chebi:140724;hmdb:HMDB0006512;hmdb:HMDB06512
MNXM10073	3-O-methyldopa	M_CE2176_c;M_CE2176_e;M_CE2176_m	C10H13NO4	211.21456	0	chebi:82913;CHEBI:133668;CHEBI:82913;bigg.metabolite:CE2176;biggM:CE2176;biggM:M_CE2176;chebi:133668;hmdb:HMDB0001434;hmdb:HMDB0005881;hmdb:HMDB0060747;hmdb:HMDB01434;hmdb:HMDB05881;hmdb:HMDB60747;metacyc.compound:CPD-11496;metacycM:CPD-11496;seed.compound:cpd22970;seedM:M_cpd22970;seedM:cpd22970
MNXM1013	3,3',5-triiodo-L-thyronine	M_triodthy_c;M_triodthy_e	C15H12I3NO4	650.97353	0	chebi:533015;CHEBI:18258;CHEBI:533015;CHEBI:60308;bigg.metabolite:triodthy;biggM:M_triodthy;biggM:triodthy;chebi:11701;chebi:11702;chebi:13059;chebi:18258;chebi:19894;chebi:45840;chebi:60308;chebi:9722;envipath:650babc9-9d68-4b73-9332-11972ca26f7b/compound/6614117f-90fe-400f-ae95-8e50b17cd72a;envipathM:650babc9-9d68-4b73-9332-11972ca26f7b/compound/6614117f-90fe-400f-ae95-8e50b17cd72a;hmdb:HMDB0000265;hmdb:HMDB0006780;hmdb:HMDB00265;hmdb:HMDB06780;kegg.compound:C02465;kegg.drug:D04742;kegg.drug:D04743;kegg.drug:D08128;keggC:C02465;keggC:M_C02465;keggD:D04742;keggD:D04743;keggD:D08128;keggD:M_D04742;keggD:M_D04743;keggD:M_D08128;metacyc.compound:LIOTHYRONINE;metacycM:LIOTHYRONINE;sabiork.compound:6221;sabiorkM:6221;seed.compound:cpd01621;seedM:M_cpd01621;seedM:cpd01621
MNXM10135	4-hydroxydebrisoquin	M_4hdebrisoquine_c;M_4hdebrisoquine_e	C10H14N3O	192.23778	1	chebi:63800;CHEBI:63800;bigg.metabolite:4hdebrisoquine;biggM:4hdebrisoquine;biggM:M_4hdebrisoquine;hmdb:HMDB0006468;hmdb:HMDB06468;reactome:R-ALL-211952;reactomeM:R-ALL-211952;sabiork.compound:24874;sabiorkM:24874
MNXM10136	4-hydroxytolbutamide	M_4mtolbutamide_c;M_4mtolbutamide_e	C12H17N2O4S	285.34046	-1	chebi:63799;CHEBI:63799;bigg.metabolite:4mtolbutamide;biggM:4mtolbutamide;biggM:M_4mtolbutamide;hmdb:HMDB0006408;hmdb:HMDB0060976;hmdb:HMDB06408;hmdb:HMDB60976;reactome:R-ALL-211937;reactomeM:R-ALL-211937;sabiork.compound:29706;sabiorkM:29706
